,text,FOOD,AMBIENCE,PRICE,SERVICE
1011,"Lokasinya bikin macet , tempatnya panas . Makanannya jg gak enak , harga mahal banget .",NEGATIVE,NEGATIVE,NEGATIVE,UNKNOWN
1013,"tempatny cozy menurut gue , waktu itu sih d dalem , jadi ga panas , tapi gatau kalau d luar , mungkin ga panas-panas banget karena udara bogor . gue beli ice mocha , mnurut gua ice mochanya enak buat gua yang suka ice mocha , dan gua beli cinnamon rolls dan gue suka karena ga terlalu manis , recommended banget beli cheese cake nutella oreonyaa . harganya ga mahal2 . akan balik lagi ke sini buat beli ice mocha klo ke bogor : )",POSITIVE,POSITIVE,POSITIVE,UNKNOWN
1050,"Cuma satu , menu nya porsinya besar . Tapi pelayanannya LAMA ! Waitress bawa makanan ngga pake catetan nomer meja , jd entahlah pesanan kita lari ke meja mana dulu , apalagi klo duduknya diatas dan jauh dari tangga ( krn makanan dibawa dr kitchen di lt dasar ) . Untuk rasa enak , porsi seperti saya sdh bilang diatas cukup banyak , ga bakal kelaperan lah , harga pun sesuai , ga kemahalan . Kemarin dtg krn pnya kupon dr groupon , jd jatuhnya semakin murah lagi . Tapi sekali lagi their service ruin everything !",POSITIVE,UNKNOWN,POSITIVE,NEGATIVE
1054,"Lagi booming bgt , menurut saya rasanya biasa aja , pizzanya kejunya kurang banyak , untuk buble deesertnya lumayan lah , dan servicenya agak lama , tempatnya kurang besar .",NEGATIVE,NEGATIVE,UNKNOWN,NEGATIVE
1064,"Tempatnya bagus sih secara design , tapi makanannya ga enak . Saya nyobain nasi goreng lay , rasa nya alay , pelayanannya juga lama ( masaknya ) terus coco banana nya kecil banget .",NEGATIVE,POSITIVE,UNKNOWN,NEGATIVE
108,"OKU ... Makananya enak , penyajiannya kreatif , harganya masih ok untuk sebuah resto yg letaknya di dalam hotel terkenal.karena rame jadi harus nunggu di Loungenya .",POSITIVE,UNKNOWN,POSITIVE,UNKNOWN
1087,"kemaren dah ke sana karena penasaran,tempat sih okee gw kasi nilai 8,tp makanannya ugh sorry to say kurang enak (kasian kalo di bilang ngga enak),pesen beef stroganofe koq rasanya kaya rendang yaa,sm chicken basil rice ya ampuuunn berminyak banget wueeks.",NEGATIVE,POSITIVE,UNKNOWN,UNKNOWN
1099,"Judulnya sih malmingan cuma berdua an aja ma misua tanpa 2 jagoan gw,tertuju lah steak abuba pas pertama masuk suasananya sih nyaman bgt alias adem. Order yg pasti steak dan gw order steak rib eye,balck coffe,lemonade dan buat dessert nya gw order cheese cake oreo yg pas masuk mulut emmmm yummy bgt lumer dilidah. Tapi masih ada menu lain yg pgen gw cobain sih scra pelayanannya juga ramah dan cepet bgt.",POSITIVE,POSITIVE,UNKNOWN,POSITIVE
1113,"Tempatnya cozy banget buat nongkrong tp rasa makanan nya yang kurang enak hoho , harga sama porsinya itu juga minus banget harganya berapa porsinya kecil banget huhu .",NEGATIVE,POSITIVE,NEGATIVE,UNKNOWN
1126,"tempatnya cozy nyaman buat lama lama disana tapi sayang banget pelayanannya buruk . Waitersnya kebanyakan ngobrol jadi tiap dipanggil mesti berkali kali , kurang senyum jadi kalo liat males banget buat manggil tapi tertolonglah sama tempat dan pemandangannya . Makanannya juga enak bangeeeeet so ga terlalu mengecewakan juga .",POSITIVE,POSITIVE,UNKNOWN,NEGATIVE
1134,makanan enak porsi pas..tapi jangan datang ketika sudah jam mepet..pegawainya tidak sopan dan terkesan harus membayar dengan cepat..mohon lebih diperhatikan kesopanannya .,POSITIVE,UNKNOWN,POSITIVE,NEGATIVE
1137,"Dari segi pelayanan , menurut saya jelas sekali pelayanan tidak memuaskan . Saya mencoba hubungi nomor telp sabu hachi karang tengah untuk reservasi , telp diangkat tapi hanya didiamkan saja . Begitu terus berulang2 sampai 3 kali . Selain merugikan juga SANGAT TDAK SOPAN ! ! ! Bagaimana org mau tertarik datang kalau untuk layanan telp/reservasi saja tidak dilayani dengan baik . Mhn jd perhatian .",UNKNOWN,UNKNOWN,UNKNOWN,NEGATIVE
1151,"Porsi sangat kecil, tidak sesuai dengan harga yang dibayar. Jamin sangat mengecewakan!!! Kami tidak akan mengunjungi restaurant ini lagi. Merasa dibohongi dengan gambar gambar makanan yang menggoda tapi faktanya sangat mengecewakan. Saran untul pemilik, jangat berbisnis makanan dengan maksud menipu!!!",UNKNOWN,UNKNOWN,NEGATIVE,UNKNOWN
116,"Salah satu tempat favorit gue di area Gunawarman . Biasanya gue order Lunch Set karena udah dapat main course + drink + dessert . Untuk penggemar ox tounge , gue recommend untuk mesen Mrs Moo 's Gyutan Don Cabe Ijo . Selain rasanya yang enak banget , porsinya juga sangat mengenyangkan .",POSITIVE,UNKNOWN,POSITIVE,UNKNOWN
117,"Pertama kali dateng . Keliatan gak rame . Tapi pelayanannya jelek banget . Pesen , setelah 1 jam baru dianterin . Udah gitu dari 3 pesanan baru 2 yang jadi . Dan salah juga . Kurang profesional . Terima kasih untuk complementary . Semoga lebih bak .",UNKNOWN,UNKNOWN,UNKNOWN,NEGATIVE
1186,"Suka sama fish and chipsnya ! Ga kayak fish and chips di tempat2 lain , porsinya besar & rasanya enak juga ternyata , tapi sayang tempatnya kecil , kebetulan pas kesana hari minggu & rame , jadi berisik suasananya .",POSITIVE,NEGATIVE,POSITIVE,UNKNOWN
1223,"Mengecewakan banget. Tempatnya gak menarik, sepi pengunjung juga. Kotor sama kusam pula. Mungkin salah banget kenapa pindah dari tempat yang sebelumnya. Rasa sushinya gak enak banget. Super asin, kayak makan garam doang. Penyajiannya parah. Baru kali ini makan sushi malah bikin mual. Hmm.",NEGATIVE,NEGATIVE,UNKNOWN,UNKNOWN
1227,"Tempatnya sangat cozy, servicenya oke. Abuba steak ni lumayan rame apalagi kalo weekend. Gw makan disini 2x dgan 2 jenis makanan yang berbeda, tp keduanya ga ada yang special. Rasanya biasa. Yg enak disini itu homemade bbq sauce mereka.",NEGATIVE,POSITIVE,UNKNOWN,POSITIVE
1235,"Waktu pertama kali gue kesini, awal2 mereke buka, gue langsung suka banget karena makanan yg mereka sajikan bisa dibilang anti mainstream dan begitu gue makan pun rasanya enak banget! Walaupun harganya cukup mahal tapi worth it!! Gue sampe rekomendasi ke temen2 gue buat nyobaik makanan di sini.",POSITIVE,UNKNOWN,NEGATIVE,UNKNOWN
1236,"Suasana dan design sangat bagus . Kebersihannya pun bagus . Makanannya samgyetang enak korean style , tidak terlalu banyak rempah , bawang atau perasa tambahan lebih mengandalkan rasa asli dari ayam dan sedikit rempah dan kacang2an .",POSITIVE,POSITIVE,UNKNOWN,UNKNOWN
1247,"Servisnya paarrraahhhh!!! Saya dtg makan sini pada jam sepi, jam 2.30 siang tepatnya tapi mulai dari minta mangkok kosong, minta refil minum, mknan ga keluar sampe udah bersih meja semua bukan cuma lamban, tapi dicuekin!!! Sibuk? Engga! Ngobrol2 dipinggir!",UNKNOWN,UNKNOWN,UNKNOWN,NEGATIVE
1252,Tempat nya cozy bgt smoking areanya pun nyaman ber ac . enak banget apalagi pizza nya . Buat kalian yang belum coba silahkan datang sekarang juga harga nya lumayan kok termasuk murah klo di jajajran grand indonesia mah .,POSITIVE,POSITIVE,POSITIVE,UNKNOWN
1257,"Makanan lumayan enak dan suasanya asik . Sayang sekali pelayanannya buruk . Makanan & tamu masih ada , 2 orang pelayan udah membereskan meja tanpa permisi dan seperti gak punya etika dan makanan yg masih ada ikut diangkat . Too bad .",POSITIVE,POSITIVE,UNKNOWN,NEGATIVE
1270,"Tempatnya kecil and tempat parkirnya susah , tempatnya di lantai dua dan cuma ada beberapa meja di dalam dan luar , mungkin karena made from scratch , jadi agag lama , untuk makanan sehat , rasanya lumayan enak , walaopun engga familiar pesen naked burgreen n greenonigiri platter .",POSITIVE,POSITIVE,UNKNOWN,UNKNOWN
